球団,4番,4番出場回数
DeNA,牧 秀悟,143
オリックス,森 友哉,71
オリックス,セデーニョ,26
オリックス,頓宮 裕真,16
オリックス,中川 圭太,11
オリックス,シュウィンデル,7
オリックス,杉本 裕太郎,7
オリックス,T-岡田,5
ソフトバンク,柳田 悠岐,74
ソフトバンク,近藤 健介,50
ソフトバンク,栗原 陵矢,17
ソフトバンク,中村 晃,2
ヤクルト,村上 宗隆,139
ヤクルト,サンタナ,3
ヤクルト,山田 哲人,1
ロッテ,ポランコ,88
ロッテ,山口 航輝,35
ロッテ,井上 晴哉,9
ロッテ,中村 奨吾,5
ロッテ,安田 尚憲,3
ロッテ,茶谷 健太,2
ロッテ,角中 勝也,1
中日,石川 昂弥,85
中日,細川 成也,34
中日,ビシエド,15
中日,アキーノ,5
中日,アルモンテ,2
中日,宇佐見 真吾,2
巨人,岡本 和真,140
巨人,坂本 勇人,3
広島,マクブルーム,50
広島,西川 龍馬,46
広島,堂林 翔太,14
広島,松山 竜平,14
広島,上本 崇司,12
広島,デビッドソン,4
広島,菊池 涼介,3
日本ハム,万波 中正,49
日本ハム,野村 佑希,47
日本ハム,清宮 幸太郎,20
日本ハム,マルティネス,18
日本ハム,郡司 裕也,3
日本ハム,ハンソン,1
日本ハム,今川 優馬,1
日本ハム,有薗 直輝,1
日本ハム,木村 文紀,1
日本ハム,松本 剛,1
日本ハム,王 柏融,1
楽天,浅村 栄斗,119
楽天,フランコ,13
楽天,島内 宏明,10
楽天,岡島 豪郎,1
西武,マキノン,47
西武,中村 剛也,46
西武,渡部 健人,35
西武,山川 穂高,8
西武,栗山 巧,7
阪神,大山 悠輔,143
