球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
阪神,3月31日(金),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,小幡 竜平,青柳 晃洋
阪神,4月1日(土),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,小幡 竜平,秋山 拓巳
阪神,4月2日(日),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,小幡 竜平,才木 浩人
阪神,4月4日(火),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,小幡 竜平,西 勇輝
阪神,4月6日(木),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,小幡 竜平,西 純矢
阪神,4月7日(金),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,小幡 竜平,青柳 晃洋
阪神,4月8日(土),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,島田 海吏,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,4月9日(日),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,板山 祐太郎,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月11日(火),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,木浪 聖也,西 勇輝
阪神,4月12日(水),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,4月13日(木),近本 光司,中野 拓夢,渡邉 諒,大山 悠輔,ノイジー,梅野 隆太郎,板山 祐太郎,木浪 聖也,西 純矢
阪神,4月14日(金),近本 光司,中野 拓夢,渡邉 諒,大山 悠輔,ノイジー,板山 祐太郎,梅野 隆太郎,木浪 聖也,青柳 晃洋
阪神,4月16日(日),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,森下 翔太,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月18日(火),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,島田 海吏,梅野 隆太郎,木浪 聖也,西 勇輝
阪神,4月19日(水),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,4月20日(木),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,梅野 隆太郎,木浪 聖也,西 純矢
阪神,4月21日(金),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,梅野 隆太郎,木浪 聖也,青柳 晃洋
阪神,4月22日(土),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,島田 海吏,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,4月23日(日),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月26日(水),近本 光司,梅野 隆太郎,中野 拓夢,大山 悠輔,ノイジー,佐藤 輝明,島田 海吏,木浪 聖也,西 勇輝
阪神,4月27日(木),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,坂本 誠志郎,木浪 聖也,伊藤 将司
阪神,4月28日(金),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,4月29日(土),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,4月30日(日),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,井上 広大,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,5月2日(火),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,小野寺 暖,梅野 隆太郎,木浪 聖也,青柳 晃洋
阪神,5月3日(水),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,島田 海吏,梅野 隆太郎,木浪 聖也,西 勇輝
阪神,5月4日(木),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,小野寺 暖,坂本 誠志郎,木浪 聖也,伊藤 将司
阪神,5月5日(金),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,ミエセス,坂本 誠志郎,木浪 聖也,大竹 耕太郎
阪神,5月9日(火),近本 光司,中野 拓夢,ノイジー,大山 悠輔,佐藤 輝明,ミエセス,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,5月10日(水),近本 光司,中野 拓夢,小野寺 暖,大山 悠輔,佐藤 輝明,井上 広大,梅野 隆太郎,木浪 聖也,西 勇輝
