球団,選手名,4番出場回数,試合,打席,打数,安打,本塁打,打点,四球,死球,三振,併殺打,OBP,SLG,OPS
DeNA,牧 秀悟,143,143,605,559,164,29,103,33,7,85,17,.337,.530,.867
オリックス,森 友哉,71,110,453,384,113,18,64,54,7,61,9,.385,.508,.893
ソフトバンク,柳田 悠岐,74,143,625,546,163,22,85,64,9,97,9,.378,.484,.861
ヤクルト,村上 宗隆,139,140,597,496,127,31,84,90,7,168,6,.375,.500,.875
ロッテ,ポランコ,88,125,497,447,108,26,75,47,0,92,3,.312,.450,.762
中日,石川 昂弥,85,121,464,434,105,13,45,22,4,69,10,.282,.394,.676
巨人,岡本 和真,140,140,589,503,140,41,93,72,8,111,10,.374,.584,.958
広島,マクブルーム,50,70,259,226,50,6,31,28,1,56,9,.305,.354,.659
楽天,浅村 栄斗,119,143,601,522,143,26,78,75,3,108,9,.368,.462,.829
西武,マキノン,47,127,514,464,120,15,50,48,0,91,7,.327,.401,.728
阪神,大山 悠輔,143,143,625,513,148,19,78,99,5,120,13,.403,.456,.859
