球団,日付,選手名,得点,raw
DeNA,2025-03-29,牧 秀悟,4.0,DB 4 - 3 C
DeNA,2025-03-29,牧 秀悟,1.0,D 11 - 1 DB
DeNA,2025-03-30,牧 秀悟,6.0,DB 6 - 1 C
DeNA,2025-03-30,牧 秀悟,2.0,D 1 - 2 DB
DeNA,2025-03-31,牧 秀悟,1.0,DB 1 - 5 C
DeNA,2025-04-02,牧 秀悟,5.0,T 3 - 5 DB
DeNA,2025-04-03,牧 秀悟,2.0,T 5 - 2 DB
DeNA,2025-04-04,牧 秀悟,3.0,T 2 - 3 DB
DeNA,2025-04-05,牧 秀悟,2.0,G 1 - 2 DB
DeNA,2025-04-06,牧 秀悟,6.0,G 4 - 6 DB
DeNA,2025-04-07,牧 秀悟,0.0,G 3 - 0 DB
DeNA,2025-04-09,牧 秀悟,1.0,DB 1 - 3 D
DeNA,2025-04-10,牧 秀悟,1.0,DB 1 - 6 D
DeNA,2025-04-12,牧 秀悟,3.0,DB 3 - 1 S
DeNA,2025-04-13,牧 秀悟,2.0,DB 2 - 5 S
DeNA,2025-04-14,牧 秀悟,0.0,DB 0 - 9 S
DeNA,2025-04-16,牧 秀悟,2.0,C 11 - 2 DB
DeNA,2025-04-17,牧 秀悟,1.0,C 5 - 1 DB
DeNA,2025-04-19,牧 秀悟,3.0,S 4 - 3 DB
DeNA,2025-04-20,牧 秀悟,7.0,S 4 - 7 DB
DeNA,2025-04-21,牧 秀悟,8.0,S 3 - 8 DB
DeNA,2025-04-23,牧 秀悟,1.0,DB 1 - 1 T
DeNA,2025-04-24,牧 秀悟,3.0,DB 3 - 5 T
DeNA,2025-04-26,牧 秀悟,7.0,DB 7 - 2 G
DeNA,2025-04-27,牧 秀悟,1.0,DB 1 - 2 G
DeNA,2025-04-28,牧 秀悟,,
DeNA,2025-04-29,牧 秀悟,,
DeNA,2025-04-30,牧 秀悟,,
DeNA,2025-05-01,牧 秀悟,12.0,D 1 - 12 DB
DeNA,2025-05-03,牧 秀悟,2.0,C 0 - 2 DB
DeNA,2025-05-04,牧 秀悟,1.0,C 4 - 1 DB
DeNA,2025-05-05,牧 秀悟,5.0,C 0 - 5 DB
DeNA,2025-05-06,牧 秀悟,6.0,DB 6 - 5 S
DeNA,2025-05-08,牧 秀悟,2.0,DB 2 - 6 S
DeNA,2025-05-10,牧 秀悟,3.0,DB 3 - 4 T
DeNA,2025-05-11,牧 秀悟,11.0,DB 11 - 9 T
DeNA,2025-05-12,牧 秀悟,0.0,DB 0 - 1 T
DeNA,2025-05-14,牧 秀悟,1.0,G 2 - 1 DB
DeNA,2025-05-15,牧 秀悟,0.0,G 4 - 0 DB
DeNA,2025-05-17,牧 秀悟,2.0,DB 2 - 1 D
DeNA,2025-05-18,牧 秀悟,3.0,DB 3 - 2 D
DeNA,2025-06-02,牧 秀悟,2.0,F 9 - 2 DB
DeNA,2025-06-09,牧 秀悟,8.0,DB 8 - 5 H
DeNA,2025-06-11,牧 秀悟,4.0,M 0 - 4 DB
DeNA,2025-06-12,牧 秀悟,13.0,M 3 - 13 DB
DeNA,2025-06-13,牧 秀悟,3.0,M 1 - 3 DB
DeNA,2025-06-14,牧 秀悟,5.0,L 1 - 5 DB
