球団,選手名,4番タイプ,本塁打,OBP,SLG,OPS,4番試合数,合計得点,平均得点
DeNA,牧 秀悟,長打型,23,0.346,0.491,0.837,78.0,268.0,3.436
オリックス,森 友哉,総合型,9,0.368,0.415,0.783,,,
ソフトバンク,山川 穂高,長打型,34,0.318,0.484,0.801,142.0,604.0,4.254
ヤクルト,村上 宗隆,総合型,33,0.379,0.472,0.851,,,
ロッテ,ソト,長打型,21,0.33,0.45,0.78,,,
中日,細川 成也,総合型,23,0.368,0.478,0.846,86.0,217.0,2.523
巨人,岡本 和真,総合型,27,0.362,0.501,0.863,142.0,456.0,3.211
広島,小園 海斗,総合型,2,0.322,0.33,0.651,,,
日本ハム,マルティネス,総合型,13,0.336,0.405,0.74,,,
楽天,浅村 栄斗,総合型,14,0.346,0.382,0.728,,,
西武,佐藤 龍世,総合型,7,0.33,0.39,0.72,,,
阪神,大山 悠輔,長打型,14,0.338,0.383,0.721,,,
