球団,選手名,4番出場回数,本塁打,OBP,SLG,OPS,打点,長打型スコア,総合型スコア,4番タイプ,試合,得点,1試合平均得点
DeNA,牧 秀悟,79,23,0.346,0.491,0.837,74,0.769,0.64,長打型,143,522,3.6503496503496504
オリックス,森 友哉,62,9,0.368,0.415,0.783,46,-0.556,0.412,総合型,143,402,2.8111888111888113
ソフトバンク,山川 穂高,143,34,0.318,0.484,0.801,99,1.181,-0.159,長打型,143,607,4.244755244755245
ヤクルト,村上 宗隆,131,33,0.379,0.472,0.851,86,1.219,1.292,総合型,143,506,3.5384615384615383
ロッテ,ソト,116,21,0.33,0.45,0.78,88,0.252,-0.201,長打型,143,493,3.4475524475524475
中日,細川 成也,86,23,0.368,0.478,0.846,67,0.724,1.072,総合型,143,373,2.6083916083916083
巨人,岡本 和真,143,27,0.362,0.501,0.863,83,1.114,1.158,総合型,143,462,3.230769230769231
広島,小園 海斗,71,2,0.322,0.33,0.651,61,-1.819,-1.668,総合型,143,415,2.902097902097902
日本ハム,マルティネス,79,13,0.336,0.405,0.74,57,-0.543,-0.522,総合型,143,532,3.7202797202797204
楽天,浅村 栄斗,76,14,0.346,0.382,0.728,60,-0.661,-0.5,総合型,143,492,3.4405594405594404
西武,佐藤 龍世,32,7,0.33,0.39,0.72,34,-1.001,-0.829,総合型,143,350,2.4475524475524475
阪神,大山 悠輔,90,14,0.338,0.383,0.721,68,-0.678,-0.696,長打型,143,485,3.3916083916083917
