球団,4番,4番出場回数
DeNA,牧 秀悟,60
DeNA,オースティン,50
DeNA,宮﨑 敏郎,16
DeNA,ビシエド,9
DeNA,筒香 嘉智,6
DeNA,フォード,1
DeNA,佐野 恵太,1
オリックス,杉本 裕太郎,74
オリックス,頓宮 裕真,36
オリックス,中川 圭太,15
オリックス,太田 椋,6
オリックス,ディアス,4
オリックス,西川 龍馬,3
オリックス,紅林 弘太郎,2
オリックス,西野 真弘,2
オリックス,オリバレス,1
ソフトバンク,山川 穂高,68
ソフトバンク,中村 晃,40
ソフトバンク,近藤 健介,31
ソフトバンク,柳町 達,2
ソフトバンク,嶺井 博希,1
ソフトバンク,栗原 陵矢,1
ヤクルト,オスナ,64
ヤクルト,村上 宗隆,54
ヤクルト,サンタナ,10
ヤクルト,北村 恵吾,4
ヤクルト,内山 壮真,3
ヤクルト,茂木 栄五郎,3
ヤクルト,宮本 丈,2
ヤクルト,山田 哲人,2
ヤクルト,澤井 廉,1
ロッテ,山本 大斗,47
ロッテ,ソト,44
ロッテ,山口 航輝,13
ロッテ,寺地 隆成,9
ロッテ,西川 史礁,8
ロッテ,安田 尚憲,7
ロッテ,ポランコ,6
ロッテ,上田 希由翔,4
ロッテ,石川 慎吾,2
ロッテ,角中 勝也,2
ロッテ,アセベド,1
中日,細川 成也,75
中日,ボスラー,35
中日,カリステ,16
中日,石川 昂弥,13
中日,中田 翔,2
中日,ブライト 健太,1
中日,福永 裕基,1
巨人,岡本 和真,66
巨人,キャベッジ,39
巨人,吉川 尚輝,15
巨人,丸 佳浩,7
巨人,増田 陸,7
巨人,坂本 勇人,5
巨人,岸田 行倫,3
巨人,大城 卓三,1
広島,末包 昇大,63
広島,モンテロ,43
広島,ファビアン,21
広島,堂林 翔太,5
広島,小園 海斗,5
広島,佐々木 泰,4
広島,坂倉 将吾,1
広島,田村 俊介,1
日本ハム,野村 佑希,52
日本ハム,レイエス,39
日本ハム,郡司 裕也,35
日本ハム,清宮 幸太郎,4
日本ハム,マルティネス,3
日本ハム,万波 中正,3
日本ハム,石井 一成,2
日本ハム,吉田 賢吾,1
日本ハム,松本 剛,1
日本ハム,水谷 瞬,1
日本ハム,田宮 裕涼,1
日本ハム,進藤 勇也,1
楽天,ボイト,35
楽天,フランコ,26
楽天,黒川 史陽,24
楽天,ゴンザレス,18
楽天,阿部 寿樹,14
楽天,鈴木 大地,10
楽天,浅村 栄斗,7
楽天,辰己 涼介,5
楽天,伊藤 裕季也,3
楽天,島内 宏明,1
西武,ネビン,119
西武,セデーニョ,17
西武,中村 剛也,6
西武,栗山 巧,1
阪神,佐藤 輝明,126
阪神,森下 翔太,12
阪神,大山 悠輔,4
阪神,前川 右京,1
