球団,日付,1番,2番,3番,4番,5番,6番,7番,8番,9番
阪神,3月28日(金),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,坂本 誠志郎,木浪 聖也,村上 頌樹
阪神,3月29日(土),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,坂本 誠志郎,木浪 聖也,富田 蓮
阪神,3月30日(日),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,梅野 隆太郎,木浪 聖也,門別 啓人
阪神,4月1日(火),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,井上 広大,木浪 聖也,坂本 誠志郎,才木 浩人
阪神,4月2日(水),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,木浪 聖也,梅野 隆太郎,ビーズリー
阪神,4月3日(木),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,榮枝 裕貴,小幡 竜平,デュプランティエ
阪神,4月4日(金),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,木浪 聖也,坂本 誠志郎,村上 頌樹
阪神,4月5日(土),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,木浪 聖也,坂本 誠志郎,富田 蓮
阪神,4月6日(日),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,木浪 聖也,梅野 隆太郎,門別 啓人
阪神,4月8日(火),近本 光司,中野 拓夢,渡邉 諒,森下 翔太,大山 悠輔,前川 右京,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月9日(水),近本 光司,中野 拓夢,森下 翔太,大山 悠輔,前川 右京,木浪 聖也,梅野 隆太郎,小幡 竜平,ビーズリー
阪神,4月11日(金),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,木浪 聖也,坂本 誠志郎,村上 頌樹
阪神,4月12日(土),近本 光司,中野 拓夢,佐藤 輝明,森下 翔太,大山 悠輔,前川 右京,坂本 誠志郎,木浪 聖也,西 勇輝
阪神,4月15日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,梅野 隆太郎,木浪 聖也,才木 浩人
阪神,4月17日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,梅野 隆太郎,木浪 聖也,ビーズリー
阪神,4月18日(金),近本 光司,小幡 竜平,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,中野 拓夢,村上 頌樹
阪神,4月19日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,木浪 聖也,デュプランティエ
阪神,4月20日(日),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,小幡 竜平,伊原 陵人
阪神,4月22日(火),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,梅野 隆太郎,小幡 竜平,才木 浩人
阪神,4月23日(水),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,梅野 隆太郎,小幡 竜平,門別 啓人
阪神,4月24日(木),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,小幡 竜平,富田 蓮
阪神,4月25日(金),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,小幡 竜平,村上 頌樹
阪神,4月26日(土),近本 光司,中野 拓夢,森下 翔太,佐藤 輝明,大山 悠輔,前川 右京,坂本 誠志郎,小幡 竜平,デュプランティエ
