球団,選手名,4番出場回数,試合,打席,打数,安打,本塁打,打点,四球,死球,三振,併殺打,OBP,SLG,OPS
DeNA,牧 秀悟,60,93,391,364,101,16,49,16,10,76,6,.325,.475,.800
オリックス,杉本 裕太郎,74,119,455,401,104,16,53,38,9,123,8,.332,.426,.758
ソフトバンク,山川 穂高,68,130,496,443,100,23,62,45,4,126,7,.300,.402,.702
ヤクルト,オスナ,64,141,574,528,135,14,67,40,1,76,13,.307,.377,.684
ロッテ,山本 大斗,47,107,417,385,79,11,33,24,6,112,13,.262,.338,.600
中日,細川 成也,75,108,428,360,92,20,58,61,4,109,11,.367,.489,.856
巨人,岡本 和真,66,69,293,251,82,15,49,33,7,33,5,.416,.598,1.014
広島,末包 昇大,63,123,477,437,106,11,62,33,2,97,6,.296,.373,.669
日本ハム,野村 佑希,52,101,369,339,91,8,35,26,3,70,4,.325,.398,.723
楽天,ボイト,35,67,276,243,73,13,39,27,6,59,5,.384,.498,.882
西武,ネビン,119,137,570,509,141,21,63,45,11,78,13,.346,.448,.794
阪神,佐藤 輝明,126,139,597,537,149,40,102,57,0,163,5,.345,.579,.924
