球団,選手名,4番タイプ,本塁打,OBP,SLG,OPS,4番試合数,合計得点,平均得点
DeNA,牧 秀悟,総合型,16,0.325,0.475,0.8,58,155.0,2.672
オリックス,杉本 裕太郎,総合型,16,0.332,0.426,0.758,75,290.0,3.867
ソフトバンク,山川 穂高,長打型,23,0.3,0.402,0.702,68,262.0,3.853
ヤクルト,オスナ,長打型,14,0.307,0.377,0.684,63,180.0,2.857
ロッテ,山本 大斗,長打型,11,0.262,0.338,0.6,47,156.0,3.319
中日,細川 成也,総合型,20,0.367,0.489,0.856,75,236.0,3.147
巨人,岡本 和真,総合型,15,0.416,0.598,1.014,66,238.0,3.606
広島,末包 昇大,長打型,11,0.296,0.373,0.669,61,194.0,3.18
日本ハム,野村 佑希,総合型,8,0.325,0.398,0.723,52,175.0,3.365
楽天,ボイト,総合型,13,0.384,0.498,0.882,35,120.0,3.429
西武,ネビン,長打型,21,0.346,0.448,0.794,117,326.0,2.786
阪神,佐藤 輝明,長打型,40,0.345,0.579,0.924,124,431.0,3.476
