球団,打者名,打席数,RE24合計,WPA合計,打点合計,本塁打合計,1打席あたりRE24,1打席あたりWPA
日本ハム,野村　佑希,20,6.1000000000000005,0.9143629999999999,7,0,0.30500000000000005,0.04571815
ヤクルト,オスナ,13,3.578,0.617753,2,0,0.2752307692307692,0.04751946153846154
ロッテ,ソト,17,3.355,-0.31489500000000004,5,0,0.1973529411764706,-0.01852323529411765
巨人,岡本　和真,31,1.9160000000000001,0.278473,4,0,0.061806451612903233,0.008983000000000001
西武,中村　剛也,4,1.2610000000000001,0.434562,0,0,0.31525000000000003,0.1086405
阪神,森下　翔太,31,1.2400000000000002,0.356859,4,0,0.04000000000000001,0.01151158064516129
オリックス,西野　真弘,1,1.012,-0.108702,1,0,1.012,-0.108702
ロッテ,ポランコ,5,0.681,-0.04126400000000001,1,0,0.13620000000000002,-0.008252800000000001
ヤクルト,サンタナ,11,0.661,0.09189,1,0,0.06009090909090909,0.008353636363636363
中日,山本　泰寛,1,0.106,0.0,0,0,0.106,0.0
DeNA,蝦名　達夫,1,-0.008,0.0,1,0,-0.008,0.0
ヤクルト,岩田　幸宏,1,-0.115,-0.026515,0,0,-0.115,-0.026515
楽天,辰己　涼介,17,-0.44299999999999995,-0.24299099999999998,0,0,-0.026058823529411763,-0.014293588235294117
西武,セデーニョ,13,-0.5199999999999999,-0.515294,2,0,-0.039999999999999994,-0.039638
オリックス,杉本　裕太郎,21,-0.9120000000000003,0.38270200000000004,3,0,-0.04342857142857144,0.018223904761904764
広島,堂林　翔太,13,-0.9259999999999999,-0.36322600000000005,1,0,-0.07123076923076922,-0.027940461538461542
DeNA,オースティン,21,-1.0090000000000001,0.16407200000000005,1,0,-0.048047619047619054,0.007812952380952384
DeNA,筒香　嘉智,7,-1.046,-0.235092,0,0,-0.14942857142857144,-0.03358457142857143
広島,モンテロ,12,-1.9329999999999998,-0.394872,1,0,-0.16108333333333333,-0.032906
ソフトバンク,山川　穂高,21,-2.195,0.010094999999999965,1,0,-0.10452380952380952,0.0004807142857142841
中日,石川　昂弥,28,-2.51,-0.21361099999999997,0,0,-0.08964285714285714,-0.007628964285714285
