日付,球場,球団,対戦相手,ホーム/ビジター,打者名,打順,守備位置,投手名,投手利き腕,イニング,表裏,イニング内打席番号,打席内球数,自チーム打席前得点,相手チーム打席前得点,打席前点差,打席前アウト数,打席前走者状況コード,打席前一塁走者,打席前二塁走者,打席前三塁走者,打席前状況コード,打席結果,最終投球結果,この打席得点数,打点,自チーム打席後得点,相手チーム打席後得点,打席後点差,打席後アウト数,打席後走者状況コード,打席後一塁走者,打席後二塁走者,打席後三塁走者,打席後状況コード,得点圏フラグ,打者走者進塁先,打者走者アウト,一塁走者進塁先,一塁走者アウト,二塁走者進塁先,二塁走者アウト,三塁走者進塁先,三塁走者アウト,打席前RE,打席後RE,RE24,打席前WE,打席後WE,WPA,WE推定方法_前,WE推定方法_後,WEサンプル数_前,WEサンプル数_後
2025/3/28,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,奥川　恭伸,右,1,裏,4,3,0,0,0,1,101,1,0,1,1_101,三飛,凡打,0,0,0,0,0,2,101,1,0,1,2_101,1,0,1,0,0,0,0,0,0,1.016,0.431,-0.585,0.714286,0.521739,-0.192547,exact,exact,14,23
2025/3/28,東京ドーム,ヤクルト,巨人,away,サンタナ,4,7,戸郷　翔征,右,2,表,1,7,0,0,0,0,0,0,0,0,0_000,空三振,空振り,0,0,0,0,0,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,exact,exact,517,378
2025/3/28,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,奥川　恭伸,右,3,裏,2,6,0,0,0,1,0,0,0,0,1_000,空三振,空振り,0,0,0,0,0,2,0,0,0,0,2_000,0,0,1,0,0,0,0,0,0,0.189,0.074,-0.115,0.526906,0.505525,-0.021381,exact,exact,223,181
2025/3/28,東京ドーム,ヤクルト,巨人,away,サンタナ,4,7,戸郷　翔征,右,5,表,1,1,0,0,0,0,0,0,0,0,0_000,左安,単打,0,0,0,0,0,0,100,0,0,1,0_100,0,1,0,0,0,0,0,0,0,0.365,0.675,0.31,0.479167,0.632353,0.153186,exact,exact,192,34
2025/3/28,東京ドーム,ヤクルト,巨人,away,サンタナ,4,7,堀田　賢慎,右,6,表,1,5,4,0,4,0,0,0,0,0,0_000,左本,本塁打,1,1,5,0,5,0,0,0,0,0,0_000,0,4,0,0,0,0,0,0,0,0.365,0.365,1,0.871795,0.875,0.003205,exact,exact,39,16
2025/3/28,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,奥川　恭伸,右,6,裏,1,4,0,5,-5,0,0,0,0,0,0_000,二ゴロ,凡打,0,0,0,5,-5,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.096774,0.095238,-0.001536,exact,exact,31,21
2025/3/28,東京ドーム,ヤクルト,巨人,away,サンタナ,4,7,泉　圭輔,右,8,表,1,6,5,0,5,0,0,0,0,0,0_000,空三振,空振り,0,0,5,0,5,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.971429,0.965517,-0.005911,exact,exact,35,29
2025/3/28,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,木澤　尚文,右,8,裏,4,6,2,5,-3,0,100,0,0,1,0_100,一飛,凡打,0,0,2,5,-3,1,100,0,0,1,1_100,0,0,1,0,0,0,0,0,0,0.675,0.398,-0.278,0.230769,0.142857,-0.087912,exact,exact,13,14
2025/3/28,東京ドーム,巨人,ヤクルト,home,岡本　和真,4,3,田口　麗斗,左,9,裏,7,2,5,5,0,1,110,0,1,1,1_110,左安,単打,0,0,5,5,0,1,111,1,1,1,1_111,1,1,0,2,0,3,0,0,1,0.715,1.328,0.613,0.666667,0.857143,0.190476,exact,exact,9,7
2025/3/28,横浜,中日,DeNA,away,石川　昂弥,4,5,東　克樹,左,1,表,4,3,0,0,0,2,100,0,0,1,2_100,左飛,凡打,0,0,0,0,0,3,100,0,0,1,3_000,0,0,1,0,0,0,0,0,0,0.184,0,-0.184,0.455696,0.41018,-0.045517,exact,next_half_exact,158,668
2025/3/28,横浜,DeNA,中日,home,オースティン,4,3,髙橋　宏斗,右,1,裏,4,2,0,0,0,2,100,0,0,1,2_100,右２,二塁打,1,1,1,0,1,3,0,0,0,0,3_000,0,0,1,4,0,0,0,0,0,0.184,0,0.816,0.580882,0.707547,0.126665,exact,next_half_exact,136,106
2025/3/28,横浜,中日,DeNA,away,石川　昂弥,4,5,東　克樹,左,4,表,2,6,0,2,-2,1,0,0,0,0,1_000,空三振,空振り,0,0,0,2,-2,2,0,0,0,0,2_000,0,0,1,0,0,0,0,0,0,0.189,0.074,-0.115,0.149254,0.122222,-0.027032,exact,exact,67,45
2025/3/28,横浜,DeNA,中日,home,オースティン,4,3,髙橋　宏斗,右,4,裏,1,6,2,0,2,0,0,0,0,0,0_000,空三振,空振り,0,0,2,0,2,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.822785,0.813559,-0.009225,exact,exact,79,59
2025/3/28,横浜,DeNA,中日,home,オースティン,4,3,髙橋　宏斗,右,6,裏,2,8,3,0,3,0,1,1,0,0,0_001,四球,ボール,0,0,3,0,3,0,101,1,0,1,0_101,1,1,0,0,0,0,0,0,0,1.323,1.496,0.174,0.934426,0.934426,0,inning_half_diff,inning_half_diff,244,244
2025/3/28,横浜,中日,DeNA,away,石川　昂弥,4,5,東　克樹,左,7,表,1,3,0,5,-5,0,0,0,0,0,0_000,見三振,見逃し,0,0,0,5,-5,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.029412,0.037037,0.007625,exact,exact,34,27
2025/3/28,横浜,DeNA,中日,home,オースティン,4,3,橋本　侑樹,左,8,裏,1,3,5,0,5,0,0,0,0,0,0_000,右飛,凡打,0,0,5,0,5,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,1,1,0,exact,exact,46,27
2025/3/28,横浜,中日,DeNA,away,石川　昂弥,4,5,入江　大生,右,9,表,3,7,0,5,-5,1,100,0,0,1,1_100,空三振,空振り,0,0,0,5,-5,2,100,0,0,1,2_100,0,0,1,0,0,0,0,0,0,0.398,0.184,-0.214,0,0,0,exact,exact,14,18
2025/3/28,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,森下　暢仁,右,1,表,4,9,2,0,2,1,0,0,0,0,1_000,遊ゴロ,凡打,0,0,2,0,2,2,0,0,0,0,2_000,0,0,1,0,0,0,0,0,0,0.189,0.074,-0.115,0.769231,0.722222,-0.047009,exact,exact,13,18
2025/3/28,マツダスタジアム,広島,阪神,home,モンテロ,4,3,村上　頌樹,右,2,裏,1,3,0,2,-2,0,0,0,0,0,0_000,空三振,空振り,0,0,0,2,-2,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.279412,0.283019,0.003607,exact,exact,68,53
2025/3/28,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,森下　暢仁,右,4,表,1,7,2,0,2,0,0,0,0,0,0_000,中安,単打,0,0,2,0,2,0,100,0,0,1,0_100,0,1,0,0,0,0,0,0,0,0.365,0.675,0.31,0.755814,0.710526,-0.045288,exact,exact,86,19
2025/3/28,マツダスタジアム,広島,阪神,home,モンテロ,4,3,村上　頌樹,右,4,裏,3,3,0,2,-2,1,100,0,0,1,1_100,一ゴロ,凡打,0,0,0,2,-2,2,10,0,1,0,2_010,0,2,0,0,1,0,0,0,0,0.398,0.276,-0.122,0.482759,0.1,-0.382759,exact,exact,29,10
2025/3/28,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,森下　暢仁,右,6,表,2,1,2,0,2,1,0,0,0,0,1_000,中飛,凡打,0,0,2,0,2,2,0,0,0,0,2_000,0,0,1,0,0,0,0,0,0,0.189,0.074,-0.115,0.742188,0.744681,0.002493,exact,exact,64,47
2025/3/28,マツダスタジアム,広島,阪神,home,モンテロ,4,3,村上　頌樹,右,7,裏,2,2,0,2,-2,1,0,0,0,0,1_000,三ゴロ,凡打,0,0,0,2,-2,2,0,0,0,0,2_000,0,0,1,0,0,0,0,0,0,0.189,0.074,-0.115,0.181818,0.152174,-0.029644,exact,exact,55,46
2025/3/28,マツダスタジアム,阪神,広島,away,森下　翔太,4,9,塹江　敦哉,左,8,表,4,6,2,0,2,2,10,0,1,0,2_010,四球,ボール,0,0,2,0,2,2,110,0,1,1,2_110,1,1,0,0,0,0,0,0,0,0.276,0.368,0.093,0.966667,0.961538,-0.005128,exact,exact,15,13
2025/3/28,マツダスタジアム,広島,阪神,home,モンテロ,4,3,村上　頌樹,右,9,裏,4,7,0,4,-4,1,101,1,0,1,1_101,二飛,凡打,0,0,0,4,-4,2,101,1,0,1,2_101,1,0,1,0,0,0,0,0,0,1.016,0.431,-0.585,0,0,0,inning_half_diff,inning_half_diff,148,148
2025/3/28,ベルーナドーム,日本ハム,西武,away,野村　佑希,4,3,今井　達也,右,2,表,1,4,0,0,0,0,0,0,0,0,0_000,遊ゴロ,凡打,0,0,0,0,0,1,0,0,0,0,1_000,0,0,1,0,0,0,0,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,exact,exact,517,378
