球団,打者名,PA,打点合計,RE24合計,WPA合計,打点/PA,RE24/PA,WPA/PA,打点順位,RE24順位,WPA順位,打点/PA順位,RE24/PA順位,WPA/PA順位,WPA評価上昇,タイプ
阪神,佐藤　輝明,544,91,47.723,3.238965,0.16727941176470587,0.08772610294117647,0.005953979779411764,1,1,6,4,4,10,-5,総合型
西武,ネビン,491,54,21.654,0.46803699999999987,0.109979633401222,0.04410183299389002,0.000953232179226069,2,5,18,13,11,19,-16,得点貢献型
中日,細川　成也,313,43,19.93,3.654191,0.13738019169329074,0.0636741214057508,0.01167473162939297,5,6,5,8,8,5,0,総合型
オリックス,杉本　裕太郎,308,29,-8.235999999999999,0.9652170000000001,0.09415584415584416,-0.026740259740259738,0.003133821428571429,10,25,13,20,22,15,-3,勝利貢献型
ソフトバンク,山川　穂高,289,35,0.2869999999999999,0.849737,0.12110726643598616,0.0009930795847750862,0.002940266435986159,8,18,14,10,18,16,-6,その他
巨人,岡本　和真,280,49,28.686,4.36641,0.175,0.10245,0.01559432142857143,3,3,3,3,3,4,0,総合型
ヤクルト,オスナ,273,30,3.214,0.7365899999999999,0.10989010989010989,0.011772893772893773,0.0026981318681318675,9,16,16,14,16,18,-7,その他
広島,末包　昇大,267,40,10.932,-0.07504099999999995,0.149812734082397,0.0409438202247191,-0.00028105243445692866,6,7,20,6,12,20,-14,得点貢献型
DeNA,牧　秀悟,243,27,8.321,5.049012,0.1111111111111111,0.03424279835390946,0.02077782716049383,11,12,1,11,13,2,10,勝利貢献型
ヤクルト,村上　宗隆,222,47,31.171,4.020346,0.21171171171171171,0.1404099099099099,0.018109666666666666,4,2,4,2,2,3,0,総合型
日本ハム,野村　佑希,218,20,2.1180000000000003,1.132902,0.09174311926605505,0.00971559633027523,0.005196798165137615,14,17,11,21,17,13,3,勝利貢献型
DeNA,オースティン,210,26,5.493,1.218329,0.12380952380952381,0.026157142857142858,0.0058015666666666665,12,13,10,9,14,11,2,その他
ロッテ,山本　大斗,201,18,-4.906,-0.718523,0.08955223880597014,-0.024407960199004975,-0.0035747412935323384,15,23,22,22,21,22,-7,その他
広島,モンテロ,180,18,-3.286999999999999,1.595811,0.1,-0.018261111111111106,0.008865616666666668,15,20,7,17,20,8,8,勝利貢献型
ロッテ,ソト,179,18,-1.956,-0.638764,0.1005586592178771,-0.010927374301675978,-0.003568513966480447,15,19,21,16,19,21,-6,その他
ソフトバンク,中村　晃,171,17,3.3649999999999998,0.6783669999999999,0.09941520467836257,0.019678362573099413,0.003967058479532163,19,15,17,18,15,14,2,その他
巨人,キャベッジ,157,26,10.538,1.219419,0.16560509554140126,0.06712101910828025,0.0077670000000000005,12,8,9,5,6,9,3,総合型
日本ハム,レイエス,157,40,25.21,4.825634,0.25477707006369427,0.1605732484076433,0.03073652229299363,6,4,2,1,1,1,4,総合型
楽天,ボイト,154,17,10.23,0.41869100000000004,0.11038961038961038,0.06642857142857143,0.0027187727272727277,19,9,19,12,7,17,0,得点貢献型
オリックス,頓宮　裕真,150,6,-6.212,-2.246626,0.04,-0.04141333333333333,-0.014977506666666666,25,24,25,25,25,24,0,その他
中日,ボスラー,150,13,-4.35,-1.352659,0.08666666666666667,-0.028999999999999998,-0.009017726666666667,22,22,23,23,23,23,-1,その他
日本ハム,郡司　裕也,148,14,9.203000000000001,0.776498,0.0945945945945946,0.06218243243243244,0.005246608108108108,21,11,15,19,9,12,6,その他
ソフトバンク,近藤　健介,128,18,9.484,1.482278,0.140625,0.07409375,0.011580296875,15,10,8,7,5,6,7,総合型
楽天,フランコ,108,8,-4.178,-1.740724,0.07407407407407407,-0.038685185185185184,-0.016117814814814814,24,21,24,24,24,25,0,その他
楽天,黒川　史陽,105,11,5.203,1.124762,0.10476190476190476,0.04955238095238095,0.010712019047619047,23,14,12,15,10,7,11,その他
