球団,打者名,PA,打点合計,RE24合計,WPA合計,打点/PA,RE24/PA,WPA/PA,打点順位,RE24順位,WPA順位,打点/PA順位,RE24/PA順位,WPA/PA順位,WPA評価上昇,タイプ,OPS,OBP,SLG,AB,H,TB,BB,HBP,SF,得点圏PA,得点圏OPS,得点圏OBP,得点圏SLG,チャンスタイプ
阪神,佐藤　輝明,544,91,47.723,3.238965,0.1672794117647058,0.0877261029411764,0.0059539797794117,1,1,6,4,4,10,-5,総合型,0.9319966179490278,0.3529411764705882,0.5790554414784395,487,137,282,55,0,2,169,1.0321639898562975,0.3964497041420118,0.6357142857142857,チャンス多・成果高
西武,ネビン,491,54,21.654,0.4680369999999998,0.109979633401222,0.04410183299389,0.000953232179226,2,5,18,13,11,19,-16,得点貢献型,0.8038497047075143,0.3482688391038696,0.4555808656036446,439,122,200,41,8,3,120,0.8292553191489361,0.425,0.4042553191489361,チャンス多・成果低
中日,細川　成也,313,43,19.93,3.654191,0.1373801916932907,0.0636741214057508,0.0116747316293929,5,6,5,8,8,5,0,総合型,0.8497441687285305,0.3610223642172524,0.4887218045112781,266,68,130,42,3,2,94,0.9078513635001498,0.4148936170212766,0.4929577464788732,チャンス多・成果高
オリックス,杉本　裕太郎,308,29,-8.235999999999999,0.965217,0.0941558441558441,-0.0267402597402597,0.0031338214285714,10,25,13,20,22,15,-3,勝利貢献型,0.670947570947571,0.3116883116883117,0.3592592592592593,270,62,97,29,5,4,94,0.5083986562150056,0.2978723404255319,0.2105263157894736,チャンス多・成果低
ソフトバンク,山川　穂高,289,35,0.2869999999999999,0.849737,0.1211072664359861,0.000993079584775,0.0029402664359861,8,18,14,10,18,16,-6,その他,0.6724960254372019,0.2941176470588235,0.3783783783783784,259,56,98,26,3,1,100,0.5523529411764706,0.27,0.2823529411764706,チャンス多・成果低
巨人,岡本　和真,280,49,28.686,4.36641,0.175,0.10245,0.0155943214285714,3,3,3,3,3,4,0,総合型,1.0142857142857142,0.4142857142857143,0.6,240,78,144,31,7,2,80,0.9048076923076924,0.4125,0.4923076923076923,チャンス多・成果高
ヤクルト,オスナ,273,30,3.214,0.7365899999999999,0.1098901098901098,0.0117728937728937,0.0026981318681318,9,16,16,14,16,18,-7,その他,0.641025641025641,0.3076923076923077,0.3333333333333333,246,60,82,23,1,3,77,0.7796465829252714,0.4025974025974026,0.3770491803278688,チャンス多・成果低
広島,末包　昇大,267,40,10.932,-0.0750409999999999,0.149812734082397,0.0409438202247191,-0.0002810524344569,6,7,20,6,12,20,-14,得点貢献型,0.6916145612962876,0.3108614232209737,0.3807531380753138,239,58,91,24,1,3,74,0.89720868409393,0.4054054054054054,0.4918032786885246,チャンス多・成果高
DeNA,牧　秀悟,243,27,8.321,5.049012,0.1111111111111111,0.0342427983539094,0.0207778271604938,11,12,1,11,13,2,10,勝利貢献型,0.7869958847736626,0.3292181069958848,0.4577777777777778,225,62,103,10,8,0,62,0.8455334987593052,0.4032258064516129,0.4423076923076923,チャンス多・成果高
ヤクルト,村上　宗隆,222,47,31.171,4.020346,0.2117117117117117,0.1404099099099099,0.0181096666666666,4,2,4,2,2,3,0,総合型,1.0531531531531533,0.3828828828828828,0.6702702702702703,185,51,124,32,2,3,62,1.011921458625526,0.4032258064516129,0.6086956521739131,チャンス多・成果高
