日付,球団,対戦相手,打者名,打順,イニング,表裏,イニング内打席番号,自チーム打席前得点,相手チーム打席前得点,打席前点差,打席前アウト数,打席前走者状況コード,打席前一塁走者,打席前二塁走者,打席前三塁走者,打席前状況コード,打席結果,この打席得点数,打点,自チーム打席後得点,相手チーム打席後得点,打席後点差,打席後アウト数,打席後走者状況コード,打席後一塁走者,打席後二塁走者,打席後三塁走者,打席後状況コード,得点圏フラグ,打者走者進塁先,打席前RE,打席後RE,RE24,打席前WE,打席後WE,WPA,WEサンプル数_前,WEサンプル数_後
2025-03-28,巨人,ヤクルト,岡本　和真,4,1,裏,4,0,0,0,1,101,1,0,1,1_101,三飛,0,0,0,0,0,2,101,1,0,1,2_101,1,0,1.016,0.431,-0.585,0.714286,0.521739,-0.192547,14,23
2025-03-28,ヤクルト,巨人,サンタナ,4,2,表,1,0,0,0,0,0,0,0,0,0_000,空三振,0,0,0,0,0,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,517,378
2025-03-28,巨人,ヤクルト,岡本　和真,4,3,裏,2,0,0,0,1,0,0,0,0,1_000,空三振,0,0,0,0,0,2,0,0,0,0,2_000,0,0,0.189,0.074,-0.115,0.526906,0.505525,-0.021381,223,181
2025-03-28,ヤクルト,巨人,サンタナ,4,5,表,1,0,0,0,0,0,0,0,0,0_000,左安,0,0,0,0,0,0,100,0,0,1,0_100,0,1,0.365,0.675,0.31,0.479167,0.632353,0.153186,192,34
2025-03-28,ヤクルト,巨人,サンタナ,4,6,表,1,4,0,4,0,0,0,0,0,0_000,左本,1,1,5,0,5,0,0,0,0,0,0_000,0,4,0.365,0.365,1,0.871795,0.875,0.003205,39,16
2025-03-28,巨人,ヤクルト,岡本　和真,4,6,裏,1,0,5,-5,0,0,0,0,0,0_000,二ゴロ,0,0,0,5,-5,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.096774,0.095238,-0.001536,31,21
2025-03-28,ヤクルト,巨人,サンタナ,4,8,表,1,5,0,5,0,0,0,0,0,0_000,空三振,0,0,5,0,5,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.971429,0.965517,-0.005911,35,29
2025-03-28,巨人,ヤクルト,岡本　和真,4,8,裏,4,2,5,-3,0,100,0,0,1,0_100,一飛,0,0,2,5,-3,1,100,0,0,1,1_100,0,0,0.675,0.398,-0.278,0.230769,0.142857,-0.087912,13,14
2025-03-28,巨人,ヤクルト,岡本　和真,4,9,裏,7,5,5,0,1,110,0,1,1,1_110,左安,0,0,5,5,0,1,111,1,1,1,1_111,1,1,0.715,1.328,0.613,0.666667,0.857143,0.190476,9,7
2025-03-28,中日,DeNA,石川　昂弥,4,1,表,4,0,0,0,2,100,0,0,1,2_100,左飛,0,0,0,0,0,3,100,0,0,1,3_000,0,0,0.184,0,-0.184,0.455696,0.41018,-0.045517,158,668
2025-03-28,DeNA,中日,オースティン,4,1,裏,4,0,0,0,2,100,0,0,1,2_100,右２,1,1,1,0,1,3,0,0,0,0,3_000,0,0,0.184,0,0.816,0.580882,0.707547,0.126665,136,106
2025-03-28,中日,DeNA,石川　昂弥,4,4,表,2,0,2,-2,1,0,0,0,0,1_000,空三振,0,0,0,2,-2,2,0,0,0,0,2_000,0,0,0.189,0.074,-0.115,0.149254,0.122222,-0.027032,67,45
2025-03-28,DeNA,中日,オースティン,4,4,裏,1,2,0,2,0,0,0,0,0,0_000,空三振,0,0,2,0,2,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.822785,0.813559,-0.009225,79,59
2025-03-28,DeNA,中日,オースティン,4,6,裏,2,3,0,3,0,1,1,0,0,0_001,四球,0,0,3,0,3,0,101,1,0,1,0_101,1,1,1.323,1.496,0.174,0.934426,0.934426,0,244,244
2025-03-28,中日,DeNA,石川　昂弥,4,7,表,1,0,5,-5,0,0,0,0,0,0_000,見三振,0,0,0,5,-5,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.029412,0.037037,0.007625,34,27
2025-03-28,DeNA,中日,オースティン,4,8,裏,1,5,0,5,0,0,0,0,0,0_000,右飛,0,0,5,0,5,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,1,1,0,46,27
2025-03-28,中日,DeNA,石川　昂弥,4,9,表,3,0,5,-5,1,100,0,0,1,1_100,空三振,0,0,0,5,-5,2,100,0,0,1,2_100,0,0,0.398,0.184,-0.214,0,0,0,14,18
2025-03-28,阪神,広島,森下　翔太,4,1,表,4,2,0,2,1,0,0,0,0,1_000,遊ゴロ,0,0,2,0,2,2,0,0,0,0,2_000,0,0,0.189,0.074,-0.115,0.769231,0.722222,-0.047009,13,18
2025-03-28,広島,阪神,モンテロ,4,2,裏,1,0,2,-2,0,0,0,0,0,0_000,空三振,0,0,0,2,-2,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.279412,0.283019,0.003607,68,53
2025-03-28,阪神,広島,森下　翔太,4,4,表,1,2,0,2,0,0,0,0,0,0_000,中安,0,0,2,0,2,0,100,0,0,1,0_100,0,1,0.365,0.675,0.31,0.755814,0.710526,-0.045288,86,19
2025-03-28,広島,阪神,モンテロ,4,4,裏,3,0,2,-2,1,100,0,0,1,1_100,一ゴロ,0,0,0,2,-2,2,10,0,1,0,2_010,0,2,0.398,0.276,-0.122,0.482759,0.1,-0.382759,29,10
2025-03-28,阪神,広島,森下　翔太,4,6,表,2,2,0,2,1,0,0,0,0,1_000,中飛,0,0,2,0,2,2,0,0,0,0,2_000,0,0,0.189,0.074,-0.115,0.742188,0.744681,0.002493,64,47
2025-03-28,広島,阪神,モンテロ,4,7,裏,2,0,2,-2,1,0,0,0,0,1_000,三ゴロ,0,0,0,2,-2,2,0,0,0,0,2_000,0,0,0.189,0.074,-0.115,0.181818,0.152174,-0.029644,55,46
2025-03-28,阪神,広島,森下　翔太,4,8,表,4,2,0,2,2,10,0,1,0,2_010,四球,0,0,2,0,2,2,110,0,1,1,2_110,1,1,0.276,0.368,0.093,0.966667,0.961538,-0.005128,15,13
2025-03-28,広島,阪神,モンテロ,4,9,裏,4,0,4,-4,1,101,1,0,1,1_101,二飛,0,0,0,4,-4,2,101,1,0,1,2_101,1,0,1.016,0.431,-0.585,0,0,0,148,148
2025-03-28,日本ハム,西武,野村　佑希,4,2,表,1,0,0,0,0,0,0,0,0,0_000,遊ゴロ,0,0,0,0,0,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,517,378
2025-03-28,西武,日本ハム,セデーニョ,4,2,裏,1,0,0,0,0,0,0,0,0,0_000,左飛,0,0,0,0,0,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.553215,0.505068,-0.048148,451,296
2025-03-28,日本ハム,西武,野村　佑希,4,4,表,3,0,0,0,2,0,0,0,0,2_000,遊ゴロ,0,0,0,0,0,3,0,0,0,0,3_000,0,0,0.074,0,-0.074,0.466667,0.422566,-0.0441,150,226
2025-03-28,西武,日本ハム,セデーニョ,4,4,裏,4,0,0,0,2,10,0,1,0,2_010,空三振,0,0,0,0,0,3,10,0,1,0,3_000,1,0,0.276,0,-0.276,0.541667,0.520833,-0.020833,24,192
2025-03-28,日本ハム,西武,野村　佑希,4,7,表,3,1,0,1,0,100,0,0,1,0_100,三飛,0,0,1,0,1,1,100,0,0,1,1_100,0,0,0.675,0.398,-0.278,0.789474,0.775,-0.014474,19,20
2025-03-28,西武,日本ハム,セデーニョ,4,7,裏,1,0,1,-1,0,0,0,0,0,0_000,左飛,0,0,0,1,-1,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.233333,0.183824,-0.04951,90,68
2025-03-28,日本ハム,西武,野村　佑希,4,9,表,4,2,0,2,2,0,0,0,0,2_000,二ゴロ,0,0,2,0,2,3,0,0,0,0,3_000,0,0,0.074,0,-0.074,0.893617,0.846154,-0.047463,47,91
2025-03-28,西武,日本ハム,セデーニョ,4,9,裏,3,0,2,-2,1,100,0,0,1,1_100,三併打,0,0,0,2,-2,3,0,0,0,0,3_000,0,0,0.398,0,-0.398,0.263158,0,-0.263158,19,1
2025-03-28,楽天,オリックス,辰己　涼介,4,2,表,1,0,0,0,0,0,0,0,0,0_000,三直,0,0,0,0,0,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,517,378
2025-03-28,オリックス,楽天,杉本　裕太郎,4,2,裏,1,0,0,0,0,0,0,0,0,0_000,空三振,0,0,0,0,0,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.553215,0.505068,-0.048148,451,296
2025-03-28,オリックス,楽天,杉本　裕太郎,4,4,裏,1,2,0,2,0,0,0,0,0,0_000,左飛,0,0,2,0,2,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.822785,0.813559,-0.009225,79,59
2025-03-28,楽天,オリックス,辰己　涼介,4,5,表,1,0,2,-2,0,0,0,0,0,0_000,三邪飛,0,0,0,2,-2,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.170455,0.132812,-0.037642,88,64
2025-03-28,オリックス,楽天,杉本　裕太郎,4,6,裏,3,2,0,2,2,0,0,0,0,2_000,一邪飛,0,0,2,0,2,3,0,0,0,0,3_000,0,0,0.074,0,-0.074,0.93617,0.926316,-0.009854,47,95
2025-03-28,楽天,オリックス,辰己　涼介,4,8,表,1,0,2,-2,0,0,0,0,0,0_000,一安,0,0,0,2,-2,0,100,0,0,1,0_100,0,1,0.365,0.675,0.31,0.092391,0.133333,0.040942,92,30
2025-03-28,オリックス,楽天,杉本　裕太郎,4,8,裏,4,2,1,1,2,100,0,0,1,2_100,右安,0,0,2,1,1,2,110,0,1,1,2_110,0,1,0.184,0.368,0.184,0.944444,0.958333,0.013889,36,24
2025-03-28,楽天,オリックス,辰己　涼介,4,9,表,5,2,2,0,1,110,0,1,1,1_110,空三振,0,0,2,2,0,2,110,0,1,1,2_110,1,0,0.715,0.368,-0.346,0.714286,0.55,-0.164286,7,10
2025-03-28,ソフトバンク,ロッテ,山川　穂高,4,1,裏,4,0,0,0,2,1,1,0,0,2_001,右飛,0,0,0,0,0,3,1,1,0,0,3_000,1,0,0.287,0,-0.287,0.513889,0.53675,0.022862,36,517
2025-03-28,ロッテ,ソフトバンク,ポランコ,4,2,表,1,0,0,0,0,0,0,0,0,0_000,右飛,0,0,0,0,0,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.46325,0.43254,-0.03071,517,378
2025-03-28,ソフトバンク,ロッテ,山川　穂高,4,3,裏,5,0,0,0,2,101,1,0,1,2_101,中２,1,1,1,0,1,2,11,1,1,0,2_011,1,2,0.431,0.448,1.017,0.392857,0.625,0.232143,14,8
2025-03-28,ロッテ,ソフトバンク,ポランコ,4,5,表,1,0,1,-1,0,0,0,0,0,0_000,空三振,0,0,0,1,-1,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.28,0.216814,-0.063186,150,113
2025-03-28,ソフトバンク,ロッテ,山川　穂高,4,5,裏,3,1,0,1,1,100,0,0,1,1_100,空三振,0,0,1,0,1,2,100,0,0,1,2_100,0,0,0.398,0.184,-0.214,0.764706,0.861111,0.096405,34,36
2025-03-28,ロッテ,ソフトバンク,ポランコ,4,6,表,7,4,1,3,1,100,0,0,1,1_100,右飛,0,0,4,1,3,2,100,0,0,1,2_100,0,0,0.398,0.184,-0.214,1,1,0,18,12
2025-03-28,ロッテ,ソフトバンク,ポランコ,4,8,表,2,7,1,6,0,10,0,1,0,0_010,中安,1,1,8,1,7,0,10,0,1,0,0_010,1,2,0.958,0.958,1,0.947368,1,0.052632,76,51
2025-03-28,ソフトバンク,ロッテ,山川　穂高,4,8,裏,2,1,8,-7,1,0,0,0,0,1_000,遊失,0,0,1,8,-7,1,100,0,0,1,1_100,0,1,0.189,0.398,0.209,0,0,0,8,6
2025-03-28,ロッテ,ソフトバンク,ポランコ,4,9,表,4,8,2,6,2,100,0,0,1,2_100,右安,0,0,8,2,6,2,101,1,0,1,2_101,0,1,0.184,0.431,0.247,1,1,0,7,92
2025-03-29,巨人,ヤクルト,岡本　和真,4,1,裏,4,0,0,0,2,1,1,0,0,2_001,左安,1,1,1,0,1,2,100,0,0,1,2_100,1,1,0.287,0.184,0.896,0.513889,0.625,0.111111,36,32
2025-03-29,ヤクルト,巨人,サンタナ,4,2,表,1,0,1,-1,0,0,0,0,0,0_000,空三振,0,0,0,1,-1,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0.292453,0.314286,0.021833,106,70
2025-03-29,巨人,ヤクルト,岡本　和真,4,2,裏,8,5,0,5,1,101,1,0,1,1_101,二飛,0,0,5,0,5,2,101,1,0,1,2_101,1,0,1.016,0.431,-0.585,1,1,0,28,28
2025-03-29,巨人,ヤクルト,岡本　和真,4,3,裏,7,10,0,10,2,100,0,0,1,2_100,中飛,0,0,10,0,10,3,100,0,0,1,3_000,0,0,0.184,0,-0.184,1,1,0,185,207
2025-03-29,ヤクルト,巨人,サンタナ,4,5,表,1,0,12,-12,0,0,0,0,0,0_000,空三振,0,0,0,12,-12,1,0,0,0,0,1_000,0,0,0.365,0.189,-0.176,0,0,0,5,17
2025-03-29,巨人,ヤクルト,岡本　和真,4,5,裏,4,12,0,12,2,10,0,1,0,2_010,死球,0,0,12,0,12,2,110,0,1,1,2_110,1,1,0.276,0.368,0.093,1,1,0,185,185
